Month,machine learning python: (Canada)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,32
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,47
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,15
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,10
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,9
2012-09,0
2012-10,0
2012-11,17
2012-12,8
2013-01,0
2013-02,0
2013-03,8
2013-04,8
2013-05,0
2013-06,16
2013-07,8
2013-08,0
2013-09,0
2013-10,0
2013-11,22
2013-12,0
2014-01,0
2014-02,16
2014-03,14
2014-04,7
2014-05,0
2014-06,0
2014-07,8
2014-08,9
2014-09,0
2014-10,8
2014-11,23
2014-12,0
2015-01,7
2015-02,0
2015-03,15
2015-04,7
2015-05,7
2015-06,8
2015-07,15
2015-08,15
2015-09,29
2015-10,7
2015-11,0
2015-12,22
2016-01,14
2016-02,37
2016-03,21
2016-04,35
2016-05,22
2016-06,15
2016-07,16
2016-08,8
2016-09,38
2016-10,36
2016-11,36
2016-12,28
2017-01,33
2017-02,36
2017-03,25
2017-04,34
2017-05,14
2017-06,43
2017-07,36
2017-08,42
2017-09,34
2017-10,72
2017-11,77
2017-12,60
2018-01,37
2018-02,61
2018-03,74
2018-04,75
2018-05,75
2018-06,64
2018-07,51
2018-08,39
2018-09,78
2018-10,75
2018-11,63
2018-12,60
2019-01,25
2019-02,91
2019-03,61
2019-04,69
2019-05,80
2019-06,19
2019-07,69
2019-08,51
2019-09,65
2019-10,62
2019-11,46
2019-12,53
2020-01,72
2020-02,75
2020-03,55
2020-04,62
2020-05,52
2020-06,100
2020-07,48
2020-08,43
2020-09,53
2020-10,46
2020-11,39
2020-12,45
2021-01,22
2021-02,43
2021-03,11
2021-04,23
2021-05,22
2021-06,35
2021-07,18
2021-08,42
2021-09,40
