Month,python: (Canada)
2004-01,34
2004-02,30
2004-03,28
2004-04,29
2004-05,39
2004-06,27
2004-07,38
2004-08,30
2004-09,35
2004-10,27
2004-11,31
2004-12,32
2005-01,25
2005-02,33
2005-03,32
2005-04,28
2005-05,24
2005-06,35
2005-07,31
2005-08,35
2005-09,33
2005-10,40
2005-11,24
2005-12,37
2006-01,36
2006-02,34
2006-03,30
2006-04,29
2006-05,28
2006-06,30
2006-07,33
2006-08,28
2006-09,29
2006-10,33
2006-11,30
2006-12,27
2007-01,28
2007-02,24
2007-03,27
2007-04,26
2007-05,28
2007-06,25
2007-07,30
2007-08,27
2007-09,26
2007-10,26
2007-11,28
2007-12,29
2008-01,27
2008-02,24
2008-03,27
2008-04,22
2008-05,29
2008-06,25
2008-07,25
2008-08,24
2008-09,28
2008-10,26
2008-11,31
2008-12,27
2009-01,25
2009-02,28
2009-03,27
2009-04,27
2009-05,27
2009-06,22
2009-07,27
2009-08,22
2009-09,25
2009-10,32
2009-11,30
2009-12,24
2010-01,24
2010-02,25
2010-03,30
2010-04,25
2010-05,24
2010-06,26
2010-07,28
2010-08,25
2010-09,30
2010-10,29
2010-11,29
2010-12,27
2011-01,28
2011-02,29
2011-03,30
2011-04,26
2011-05,26
2011-06,32
2011-07,30
2011-08,29
2011-09,33
2011-10,34
2011-11,33
2011-12,31
2012-01,29
2012-02,34
2012-03,29
2012-04,28
2012-05,31
2012-06,30
2012-07,31
2012-08,29
2012-09,30
2012-10,37
2012-11,34
2012-12,29
2013-01,35
2013-02,34
2013-03,36
2013-04,32
2013-05,29
2013-06,31
2013-07,33
2013-08,65
2013-09,37
2013-10,40
2013-11,43
2013-12,35
2014-01,36
2014-02,40
2014-03,41
2014-04,38
2014-05,37
2014-06,38
2014-07,39
2014-08,37
2014-09,42
2014-10,42
2014-11,47
2014-12,37
2015-01,40
2015-02,44
2015-03,46
2015-04,40
2015-05,38
2015-06,40
2015-07,38
2015-08,40
2015-09,44
2015-10,51
2015-11,49
2015-12,44
2016-01,51
2016-02,56
2016-03,53
2016-04,47
2016-05,48
2016-06,51
2016-07,44
2016-08,43
2016-09,54
2016-10,62
2016-11,69
2016-12,57
2017-01,61
2017-02,72
2017-03,75
2017-04,62
2017-05,61
2017-06,64
2017-07,60
2017-08,57
2017-09,68
2017-10,75
2017-11,74
2017-12,65
2018-01,73
2018-02,75
2018-03,78
2018-04,70
2018-05,71
2018-06,76
2018-07,69
2018-08,65
2018-09,81
2018-10,88
2018-11,89
2018-12,66
2019-01,79
2019-02,79
2019-03,82
2019-04,79
2019-05,78
2019-06,76
2019-07,81
2019-08,74
2019-09,93
2019-10,100
2019-11,97
2019-12,70
2020-01,88
2020-02,97
2020-03,90
2020-04,86
2020-05,83
2020-06,84
2020-07,82
2020-08,75
2020-09,81
2020-10,80
2020-11,71
2020-12,63
2021-01,63
2021-02,73
2021-03,69
2021-04,66
2021-05,62
2021-06,61
2021-07,58
2021-08,58
2021-09,49
